id,name,season,raptor_offense,raptor_defense,raptor_total,war_total,createdAt,updatedAt
445,"Jimmy Butler",2014,0.429183,2.91997,3.34915,8.66392,NULL,NULL
446,"Jimmy Butler",2015,3.58172,0.409193,3.99092,10.4406,NULL,NULL
447,"Jimmy Butler",2016,2.50319,1.15177,3.65496,8.03498,NULL,NULL
448,"Jimmy Butler",2017,4.61573,2.18664,6.80236,14.8246,NULL,NULL
449,"Jimmy Butler",2018,5.66365,2.40407,8.06772,12.7399,NULL,NULL
450,"Jimmy Butler",2019,3.64205,1.97091,5.61296,11.1384,NULL,NULL
451,"Rasual Butler",2014,0.799438,-5.01503,-4.21559,-0.33745,NULL,NULL
452,"Rasual Butler",2015,-0.150835,-0.727436,-0.878271,1.43186,NULL,NULL
453,"Rasual Butler",2016,0.871801,-0.0427413,0.829059,0.780264,NULL,NULL
454,"Dwight Buycks",2014,-5.6964,-0.257892,-5.95429,-0.237216,NULL,NULL
455,"Dwight Buycks",2015,-3.08459,-6.06876,-9.15334,-0.401683,NULL,NULL
456,"Dwight Buycks",2018,-2.19152,0.0556493,-2.13587,0.133314,NULL,NULL
457,"Andrew Bynum",2014,-4.94491,-0.178618,-5.12353,-0.617972,NULL,NULL
458,"Will Bynum",2014,-0.347033,-3.1832,-3.53023,-0.421214,NULL,NULL
459,"Will Bynum",2015,-5.69546,-10.7161,-16.4115,-0.712632,NULL,NULL
460,"Bruno Caboclo",2015,-13.2994,-18.3809,-31.6803,-0.340554,NULL,NULL
461,"Bruno Caboclo",2016,-16.2523,-4.1525,-20.4048,-0.394384,NULL,NULL
462,"Bruno Caboclo",2017,0.0387338,7.25902,7.29776,0.203573,NULL,NULL
463,"Bruno Caboclo",2018,-3.98612,3.17363,-0.812489,0.100941,NULL,NULL
464,"Bruno Caboclo",2019,-0.699588,-0.378618,-1.07821,0.681454,NULL,NULL
465,"Nick Calathes",2014,-2.35223,3.4643,1.11207,2.30311,NULL,NULL
466,"Nick Calathes",2015,-1.92634,4.22204,2.2957,2.48834,NULL,NULL
467,"Jose Calderon",2014,1.862,-2.2258,-0.363806,3.22767,NULL,NULL
468,"Jose Calderon",2015,-1.41144,-5.34353,-6.75497,-2.59123,NULL,NULL
469,"Jose Calderon",2016,0.619682,-0.534895,0.0847868,2.89729,NULL,NULL
470,"Jose Calderon",2017,-1.54105,-2.49351,-4.03455,-0.40369,NULL,NULL
471,"Jose Calderon",2018,-0.198062,0.967677,0.769615,1.81661,NULL,NULL
472,"Jose Calderon",2019,-4.64479,-2.14845,-6.79324,-1.31303,NULL,NULL
473,"Kentavious Caldwell-Pope",2014,-0.900893,0.225948,-0.674946,1.67895,NULL,NULL
474,"Kentavious Caldwell-Pope",2015,0.788028,-0.449754,0.338274,4.09296,NULL,NULL
475,"Kentavious Caldwell-Pope",2016,0.822598,1.71516,2.53775,7.99306,NULL,NULL
476,"Kentavious Caldwell-Pope",2017,0.667547,-0.729987,-0.0624401,3.4764,NULL,NULL
477,"Kentavious Caldwell-Pope",2018,0.770669,-0.528363,0.242306,3.77283,NULL,NULL
478,"Kentavious Caldwell-Pope",2019,0.808161,-0.297614,0.510547,3.38871,NULL,NULL
479,"Isaiah Canaan",2014,-2.19021,-2.12007,-4.31028,-0.202477,NULL,NULL
480,"Isaiah Canaan",2015,-0.064161,-1.02072,-1.08489,0.800691,NULL,NULL
481,"Isaiah Canaan",2016,-0.60904,-2.05709,-2.66613,0.0838055,NULL,NULL
482,"Isaiah Canaan",2017,-2.93081,-0.668247,-3.59906,-0.307289,NULL,NULL
483,"Isaiah Canaan",2018,0.780687,1.09538,1.87606,0.986059,NULL,NULL
484,"Isaiah Canaan",2019,-1.95187,-2.57268,-4.52455,-0.54992,NULL,NULL
485,"Clint Capela",2015,-3.11434,1.23812,-1.87622,0.100888,NULL,NULL
486,"Clint Capela",2016,-0.422955,1.9887,1.56575,3.34419,NULL,NULL
487,"Clint Capela",2017,-0.122087,1.11004,0.987957,3.52306,NULL,NULL
488,"Clint Capela",2018,0.416049,3.27729,3.69334,8.43973,NULL,NULL
489,"Clint Capela",2019,0.793209,1.92995,2.72316,7.15112,NULL,NULL
490,"DeMarre Carroll",2014,0.71557,2.08623,2.8018,7.26788,NULL,NULL
