player_name,season,raptor_offense,raptor_defense,raptor_total,war_total
Aron Baynes,2014,-2.784132303,-1.053617393,-3.837749697,-0.311638669
Aron Baynes,2015,-1.78577055,1.677697274,-0.108073276,1.582774432
Aron Baynes,2016,-1.974912257,0.007966313,-1.966945944,0.49225764
Aron Baynes,2017,-1.875361813,4.496757306,2.621395493,3.184373182
Aron Baynes,2018,-3.024419894,3.234150815,0.20973092,2.840456961
Aron Baynes,2019,-1.770118169,3.516294504,1.746176335,2.162920025
Kent Bazemore,2014,-2.441953227,0.44579947,-1.996153757,0.358660649
Kent Bazemore,2015,-2.849644121,0.329000843,-2.520643278,0.193117395
Kent Bazemore,2016,-0.328531686,1.073720551,0.745188865,4.34503008
Kent Bazemore,2017,-1.421443848,1.530683226,0.109239377,3.130193167
Kent Bazemore,2018,-0.133694372,0.709197466,0.575503094,3.074314934
Kent Bazemore,2019,-2.895144449,0.599508225,-2.295636223,0.386742018
Bradley Beal,2014,0.693734057,0.757417798,1.451151855,6.499806363
Bradley Beal,2015,1.116495159,0.654232997,1.770728157,5.832489048
Bradley Beal,2016,0.67381068,-1.434618777,-0.760808096,1.746502494
Bradley Beal,2017,4.936225741,0.143347822,5.079573563,12.8920628
Bradley Beal,2018,2.320585402,0.487220545,2.807805947,9.068290745
Bradley Beal,2019,4.314753213,-0.940657602,3.374095611,9.580186206
Malik Beasley,2017,-1.071661225,3.65363439,2.581973165,0.454544338
Malik Beasley,2018,-2.172205105,-0.444880843,-2.617085948,0.039685409
Malik Beasley,2019,0.397946685,-1.162639613,-0.764692928,2.182016556
Michael Beasley,2014,-0.703212227,-0.78227563,-1.485487857,0.554108403
Michael Beasley,2015,-4.037971484,0.342335839,-3.695635645,-0.244526325
Michael Beasley,2016,1.114054169,-1.037798617,0.076255552,0.649897103
Michael Beasley,2017,0.190786331,-0.262820216,-0.072033885,1.354232442
Michael Beasley,2018,-0.103730841,-1.993395154,-2.097125994,0.553308211
Michael Beasley,2019,-1.619436281,-3.183448199,-4.80288448,-0.292976851
Marco Belinelli,2014,2.069388487,-2.086210822,-0.016822335,3.2802432
Marco Belinelli,2015,0.68050619,-2.607362622,-1.926856432,0.642539123
Marco Belinelli,2016,-1.118694875,-2.79615107,-3.914845945,-0.996314167
Marco Belinelli,2017,0.140303303,-2.068544714,-1.928241412,0.746940013
Marco Belinelli,2018,1.24796271,-2.035277229,-0.78731452,2.242330787
Marco Belinelli,2019,0.529730371,-2.212868079,-1.683137708,1.05871397
Jordan Bell,2018,0.184078728,2.467735528,2.651814256,2.737399373
Jordan Bell,2019,-3.034255727,-0.115807903,-3.15006363,-0.178229627
DeAndre' Bembry,2017,-3.753174443,-0.56425643,-4.317430872,-0.295089969
DeAndre' Bembry,2018,-5.003359667,0.025629205,-4.977730462,-0.522276626
DeAndre' Bembry,2019,-3.15084518,1.067530148,-2.083315032,0.660856627
Dragan Bender,2017,-2.549615982,-0.199609993,-2.749225975,0.000227654
Dragan Bender,2018,-3.325015196,-1.028040137,-4.353055333,-1.696106036
Dragan Bender,2019,-4.071935821,-1.847934981,-5.919870802,-1.341261448
Jerrelle Benimon,2015,-17.14897666,12.3001557,-4.848820964,-0.003235385
Anthony Bennett,2014,-5.20069247,-2.382186811,-7.582879281,-1.647621533
Anthony Bennett,2015,-2.561891678,-3.625313269,-6.187204947,-1.569962416
Anthony Bennett,2016,-3.075845606,-7.213572128,-10.28941773,-0.325073784
Anthony Bennett,2017,-1.422144361,-6.250094665,-7.672239026,-0.669636064
Ben Bentil,2017,-17.3944978,-9.509430568,-26.90392837,-0.123410714
Davis Bertans,2017,1.198442468,0.425206859,1.623649327,2.071213244
Davis Bertans,2018,0.830612279,1.682426673,2.513038952,3.151628637
Davis Bertans,2019,2.189397005,1.115183713,3.304580718,5.293478957
Dairis Bertans,2019,-5.792375507,-5.219271608,-11.01164712,-0.699773943
Patrick Beverley,2014,1.754341084,1.719755991,3.474097076,6.135173144
Patrick Beverley,2015,0.19899586,0.986318211,1.185314071,3.468301937
Patrick Beverley,2016,1.451014234,1.834241921,3.285256155,6.680682721
Patrick Beverley,2017,1.265996172,2.309136873,3.575133045,7.724218498
Patrick Beverley,2018,0.865402806,2.195216585,3.060619391,0.99980189
Patrick Beverley,2019,1.154291376,1.370290029,2.524581404,6.279318479
Sim Bhullar,2015,9.158598037,0.602414549,9.761012586,0.018886029
Andris Biedrins,2014,-5.997590739,2.875009632,-3.122581106,-0.008577881
Chauncey Billups,2014,-2.980523965,-4.095107362,-7.075631327,-0.682166779
Khem Birch,2018,-0.656203978,1.464090984,0.807887006,1.043290507
Khem Birch,2019,-0.232227797,3.79999575,3.567767953,2.379425759
Jabari Bird,2018,-2.223264335,-3.25226262,-5.475526955,-0.160737112
Bismack Biyombo,2014,-3.519869307,1.212327557,-2.307541749,0.253612263
Bismack Biyombo,2015,-2.456140088,0.269701998,-2.186438091,0.355397052
Bismack Biyombo,2016,-2.109514968,2.761882283,0.652367315,4.0772905
Bismack Biyombo,2017,-4.011511672,-0.575611862,-4.587123534,-1.660916992
Bismack Biyombo,2018,-4.134512409,-1.088149363,-5.222661772,-1.871342377
Bismack Biyombo,2019,-3.598418479,-1.387715775,-4.986134254,-0.888701056
Nemanja Bjelica,2016,0.218193758,-0.908246301,-0.690052544,1.128251343
Nemanja Bjelica,2017,-0.763333627,1.867284963,1.103951336,2.344086552
Nemanja Bjelica,2018,0.113988999,1.262791167,1.376780166,2.993314755
Nemanja Bjelica,2019,1.248790681,0.965789827,2.214580508,4.542515699
Tarik Black,2015,-1.415111482,-1.243786914,-2.658898396,0.060868952
Tarik Black,2016,-2.852703953,3.640074762,0.787370809,0.893558402
Tarik Black,2017,-1.101728534,2.36947127,1.267742737,2.23936778
Tarik Black,2018,-4.382987059,1.231836725,-3.151150335,-0.111963642
DeJuan Blair,2014,-1.143744439,0.563280347,-0.580464092,1.488489123
DeJuan Blair,2015,-5.960182425,-4.160610791,-10.12079322,-0.688274815
DeJuan Blair,2016,-5.995426592,1.084143211,-4.911283381,-0.242165857
Antonio Blakeney,2018,-1.87200104,-3.205036693,-5.077037733,-0.371402964
Antonio Blakeney,2019,-3.059169905,-4.042692391,-7.101862295,-1.829112224
Steve Blake,2014,-0.827937111,-0.505951427,-1.333888538,1.126432553
Steve Blake,2015,-0.793998755,-1.288331366,-2.082330121,0.507399766
